	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
8	40	0	0	0	-1	-1	-1	-1	0	0	15	2	0	0	0	0	0	0	0	0	34	0	0	21	75	0	0	0	0	38
9	40	26	0	0	-1	-1	-1	-1	0	0	0	2	0	0	90	0	0	0	0	0	34	0	0	0	75	0	77	0	0	38
14	0	67	0	0	0	0	-1	-1	69	0	0	2	16	0	0	0	34	0	0	0	34	0	0	0	75	0	44	0	0	38
15	0	0	0	13	0	0	-1	-1	69	0	0	2	16	0	0	71	34	0	19	0	34	0	0	0	75	0	44	0	0	38
12	38	0	0	48	0	0	4	78	0	48	0	2	0	0	60	62	48	0	-1	-1	-1	0	0	74	0	7	0	9	0	0
13	0	0	0	48	0	0	4	78	0	48	0	2	0	30	60	62	48	0	-1	-1	-1	0	0	74	0	7	0	0	0	0
18	0	0	42	48	0	0	78	78	0	68	0	2	0	0	60	62	0	0	0	0	45	0	0	0	0	23	0	0	0	0
19	0	0	42	48	0	0	78	78	0	68	0	2	0	0	60	62	0	0	0	0	45	0	0	0	0	23	0	0	0	0
16	0	0	0	48	0	0	0	78	0	68	0	2	0	0	60	62	0	0	0	0	19	0	0	0	0	0	50	0	0	0
17	0	0	0	48	0	0	0	78	0	68	0	2	0	0	60	62	0	0	0	0	19	0	0	0	0	0	50	0	0	0
